Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Post HTTP,10000,2,2,3,4,10,1,82,0.000%,134.89451,93.93,32.67
TOTAL,10000,2,2,3,4,10,1,82,0.000%,134.89451,93.93,32.67
